Code,_StartTime,_EndTime,StartTime,EndTime,Type,Change
AB24,Oct 2007,Dec 2018,"£105,000","£120,000",All,+14%
AB24,Oct 2007,Dec 2018,"£91,000","£220,000",Terraced,+142%
AB24,Oct 2007,Dec 2018,"£242,500","£232,500",Semi,-4%
AB25,Oct 2007,Dec 2018,"£115,000","£112,500",Flat,-2%
AB25,Oct 2007,Dec 2018,"£242,000","£315,000",Detached,+30%
AB25,Oct 2007,Dec 2018,"£120,000","£120,000",All,0%
AB25,Oct 2007,Dec 2018,"£135,000","£300,000",Terraced,+122%
AB25,Oct 2007,Dec 2018,"£225,000","£293,498",Semi,+30%
AB30,Oct 2007,Dec 2018,"£310,000","£106,500",Flat,-66%
AB30,Oct 2007,Dec 2018,"£260,000","£277,500",Detached,+7%
AB30,Oct 2007,Dec 2018,"£225,000","£234,500",All,+4%
AB30,Oct 2007,Dec 2018,"£120,000","£120,000",Terraced,0%
AB30,Oct 2007,Dec 2018,"£160,000","£159,000",Semi,-1%
AB31,Oct 2007,Dec 2018,"£145,000","£140,000",Flat,-3%
AB31,Oct 2007,Dec 2018,"£295,000","£350,000",Detached,+19%
AB31,Oct 2007,Dec 2018,"£267,500","£294,500",All,+10%
AB31,Oct 2007,Dec 2018,"£232,500","£199,000",Terraced,-14%
AB31,Oct 2007,Dec 2018,"£179,500","£212,500",Semi,+18%
AB32,Oct 2007,Dec 2018,"£99,000","£144,000",Flat,+45%
AB32,Oct 2007,Dec 2018,"£255,000","£299,000",Detached,+17%
AB32,Oct 2007,Dec 2018,"£170,000","£215,000",All,+26%
AB32,Oct 2007,Dec 2018,"£165,000","£185,000",Terraced,+12%
AB32,Oct 2007,Dec 2018,"£152,500","£198,000",Semi,+30%
AB33,Oct 2007,Dec 2018,"£110,000",-,Flat,-
AB33,Oct 2007,Dec 2018,"£250,000","£310,000",Detached,+24%
AB33,Oct 2007,Dec 2018,"£250,000","£275,000",All,+10%
AB33,Oct 2007,Dec 2018,-,"£154,975",Terraced,-
AB33,Oct 2007,Dec 2018,"£177,500","£165,000",Semi,-7%
AB34,Oct 2007,Dec 2018,"£99,000","£96,500",Flat,-3%
AB34,Oct 2007,Dec 2018,"£310,000","£370,000",Detached,+19%
AB34,Oct 2007,Dec 2018,"£225,000","£325,000",All,+44%
AB34,Oct 2007,Dec 2018,"£125,000",-,Terraced,-
AB34,Oct 2007,Dec 2018,"£140,000","£163,750",Semi,+17%
AB35,Oct 2007,Dec 2018,-,"£120,000",Flat,-
AB35,Oct 2007,Dec 2018,"£302,500","£330,000",Detached,+9%
AB35,Oct 2007,Dec 2018,"£242,500","£215,000",All,-11%
AB35,Oct 2007,Dec 2018,"£250,000","£150,000",Terraced,-40%
AB35,Oct 2007,Dec 2018,"£134,000","£192,500",Semi,+44%
AB36,Oct 2007,Dec 2018,-,-,Flat,-
AB36,Oct 2007,Dec 2018,"£220,000","£280,000",Detached,+27%
AB36,Oct 2007,Dec 2018,"£195,000","£265,000",All,+36%
AB36,Oct 2007,Dec 2018,-,-,Terraced,-
AB36,Oct 2007,Dec 2018,-,"£150,000",Semi,-
AB37,Oct 2007,Dec 2018,-,-,Flat,-
AB37,Oct 2007,Dec 2018,"£345,000","£175,000",Detached,-49%
AB37,Oct 2007,Dec 2018,"£205,000","£159,000",All,-22%
AB37,Oct 2007,Dec 2018,"£210,000",-,Terraced,-
AB37,Oct 2007,Dec 2018,"£300,000","£122,000",Semi,-59%
AB38,Oct 2007,Dec 2018,"£89,995","£70,000",Flat,-22%
AB38,Oct 2007,Dec 2018,"£207,500","£298,000",Detached,+44%
AB38,Oct 2007,Dec 2018,"£160,000","£245,000",All,+53%
AB38,Oct 2007,Dec 2018,-,"£107,500",Terraced,-
AB38,Oct 2007,Dec 2018,"£129,000","£98,500",Semi,-24%
AB39,Oct 2007,Dec 2018,"£107,500","£130,000",Flat,+21%
AB39,Oct 2007,Dec 2018,"£265,000","£329,500",Detached,+24%
AB39,Oct 2007,Dec 2018,"£165,000","£230,000",All,+39%
AB39,Oct 2007,Dec 2018,"£169,500","£210,000",Terraced,+24%
AB39,Oct 2007,Dec 2018,"£160,000","£197,000",Semi,+23%
AB41,Oct 2007,Dec 2018,"£92,000","£127,500",Flat,+39%
AB41,Oct 2007,Dec 2018,"£235,000","£300,000",Detached,+28%
AB41,Oct 2007,Dec 2018,"£190,000","£224,500",All,+18%
AB41,Oct 2007,Dec 2018,"£142,500","£162,250",Terraced,+14%
AB41,Oct 2007,Dec 2018,"£137,000","£167,500",Semi,+22%
AB42,Oct 2007,Dec 2018,"£78,000","£70,000",Flat,-10%
AB42,Oct 2007,Dec 2018,"£230,000","£239,000",Detached,+4%
AB42,Oct 2007,Dec 2018,"£212,500","£183,500",All,-14%
AB42,Oct 2007,Dec 2018,"£145,000","£100,000",Terraced,-31%
AB42,Oct 2007,Dec 2018,"£119,000","£135,000",Semi,+13%
AB43,Oct 2007,Dec 2018,"£210,000","£66,000",Flat,-69%
AB43,Oct 2007,Dec 2018,"£244,500","£220,000",Detached,-10%
AB43,Oct 2007,Dec 2018,"£230,000","£140,000",All,-39%
AB43,Oct 2007,Dec 2018,-,"£80,000",Terraced,-
AB43,Oct 2007,Dec 2018,-,"£110,000",Semi,-
AB44,Oct 2007,Dec 2018,"£105,000","£86,000",Flat,-18%
AB44,Oct 2007,Dec 2018,"£195,000","£165,500",Detached,-15%
AB44,Oct 2007,Dec 2018,"£160,000","£112,500",All,-30%
AB44,Oct 2007,Dec 2018,"£110,000","£75,000",Terraced,-32%
AB44,Oct 2007,Dec 2018,"£160,000","£110,000",Semi,-31%
AB45,Oct 2007,Dec 2018,"£135,000","£72,498",Flat,-46%
AB45,Oct 2007,Dec 2018,"£210,000","£250,000",Detached,+19%
AB45,Oct 2007,Dec 2018,"£192,500","£150,000",All,-22%
AB45,Oct 2007,Dec 2018,"£193,000","£112,000",Terraced,-42%
AB45,Oct 2007,Dec 2018,"£145,000","£134,998",Semi,-7%
AB51,Oct 2007,Dec 2018,"£106,500","£129,000",Flat,+21%
AB51,Oct 2007,Dec 2018,"£280,000","£310,000",Detached,+11%
AB51,Oct 2007,Dec 2018,"£235,000","£245,000",All,+4%
AB51,Oct 2007,Dec 2018,"£147,500","£155,000",Terraced,+5%
AB51,Oct 2007,Dec 2018,"£164,250","£191,500",Semi,+17%
AB52,Oct 2007,Dec 2018,-,"£127,000",Flat,-
AB52,Oct 2007,Dec 2018,"£254,500","£277,500",Detached,+9%
AB52,Oct 2007,Dec 2018,"£245,000","£271,250",All,+11%
AB52,Oct 2007,Dec 2018,"£87,000","£139,000",Terraced,+60%
AB52,Oct 2007,Dec 2018,"£152,500","£185,000",Semi,+21%
AB53,Oct 2007,Dec 2018,"£200,000","£94,975",Flat,-53%
AB53,Oct 2007,Dec 2018,"£232,500","£250,000",Detached,+8%
AB53,Oct 2007,Dec 2018,"£220,000","£187,500",All,-15%
AB53,Oct 2007,Dec 2018,"£137,500","£98,000",Terraced,-29%
AB53,Oct 2007,Dec 2018,"£124,500","£117,500",Semi,-6%
AB54,Oct 2007,Dec 2018,"£74,500","£90,000",Flat,+21%
AB54,Oct 2007,Dec 2018,"£195,000","£239,975",Detached,+23%
AB54,Oct 2007,Dec 2018,"£187,500","£185,000",All,-1%
AB54,Oct 2007,Dec 2018,"£240,000","£110,000",Terraced,-54%
AB54,Oct 2007,Dec 2018,"£117,500","£132,500",Semi,+13%
AB55,Oct 2007,Dec 2018,-,"£80,000",Flat,-
AB55,Oct 2007,Dec 2018,"£165,000","£225,000",Detached,+36%
AB55,Oct 2007,Dec 2018,"£186,250","£160,000",All,-14%
AB55,Oct 2007,Dec 2018,"£122,500","£95,000",Terraced,-22%
AB55,Oct 2007,Dec 2018,"£170,000","£120,000",Semi,-29%
AB56,Oct 2007,Dec 2018,"£625,000","£67,500",Flat,-89%
AB56,Oct 2007,Dec 2018,"£157,000","£250,000",Detached,+59%
AB56,Oct 2007,Dec 2018,"£140,500","£192,475",All,+37%
AB56,Oct 2007,Dec 2018,"£115,000","£89,500",Terraced,-22%
AB56,Oct 2007,Dec 2018,"£115,000","£125,000",Semi,+9%
AL1,Sep 2006,Dec 2018,"£205,000","£320,000",Flat,+56%
AL1,Sep 2006,Dec 2018,"£404,950","£910,000",Detached,+125%
AL1,Sep 2006,Dec 2018,"£279,950","£410,000",All,+46%
AL1,Sep 2006,Dec 2018,"£274,975","£537,500",Terraced,+95%
AL1,Sep 2006,Dec 2018,"£309,950","£600,000",Semi,+94%
AL2,Sep 2006,Dec 2018,"£183,725","£300,000",Flat,+63%
AL2,Sep 2006,Dec 2018,"£479,950","£700,000",Detached,+46%
AL2,Sep 2006,Dec 2018,"£424,975","£500,000",All,+18%
AL2,Sep 2006,Dec 2018,"£267,450","£399,500",Terraced,+49%
AL2,Sep 2006,Dec 2018,"£325,000","£500,000",Semi,+54%
AL10,Sep 2006,Dec 2018,"£132,500","£227,500",Flat,+72%
AL10,Sep 2006,Dec 2018,"£399,995","£575,000",Detached,+44%
AL10,Sep 2006,Dec 2018,"£229,950","£295,000",All,+28%
AL10,Sep 2006,Dec 2018,"£204,995","£310,000",Terraced,+51%
AL10,Sep 2006,Dec 2018,"£264,973","£425,000",Semi,+60%
AL3,Sep 2006,Dec 2018,"£188,000","£315,000",Flat,+68%
AL3,Sep 2006,Dec 2018,"£477,500","£857,500",Detached,+80%
AL3,Sep 2006,Dec 2018,"£310,000","£525,000",All,+69%
AL3,Sep 2006,Dec 2018,"£274,975","£500,000",Terraced,+82%
AL3,Sep 2006,Dec 2018,"£329,975","£537,500",Semi,+63%
AL4,Sep 2006,Dec 2018,"£162,475","£242,500",Flat,+49%
AL4,Sep 2006,Dec 2018,"£464,995","£875,000",Detached,+88%
AL4,Sep 2006,Dec 2018,"£309,950","£600,000",All,+94%
AL4,Sep 2006,Dec 2018,"£229,950","£435,000",Terraced,+89%
AL4,Sep 2006,Dec 2018,"£292,450","£625,000",Semi,+114%
AL5,Sep 2006,Dec 2018,"£222,500","£350,000",Flat,+57%
AL5,Sep 2006,Dec 2018,"£599,725","£1,095,000",Detached,+83%
AL5,Sep 2006,Dec 2018,"£342,500","£662,500",All,+93%
AL5,Sep 2006,Dec 2018,"£297,475","£557,500",Terraced,+87%
AL5,Sep 2006,Dec 2018,"£412,475","£675,000",Semi,+64%
AL6,Sep 2006,Dec 2018,"£164,950","£352,500",Flat,+114%
AL6,Sep 2006,Dec 2018,"£675,000","£987,475",Detached,+46%
AL6,Sep 2006,Dec 2018,"£450,000","£700,000",All,+56%
AL6,Sep 2006,Dec 2018,"£275,000","£382,500",Terraced,+39%
AL6,Sep 2006,Dec 2018,"£335,000","£482,450",Semi,+44%
AL7,Sep 2006,Dec 2018,"£149,950","£238,500",Flat,+59%
AL7,Sep 2006,Dec 2018,"£315,000","£597,500",Detached,+90%
AL7,Sep 2006,Dec 2018,"£199,995","£345,000",All,+73%
AL7,Sep 2006,Dec 2018,"£201,475","£350,000",Terraced,+74%
AL7,Sep 2006,Dec 2018,"£219,950","£387,475",Semi,+76%
AL8,Sep 2006,Dec 2018,"£165,000","£235,000",Flat,+42%
AL8,Sep 2006,Dec 2018,"£579,995","£900,000",Detached,+55%
AL8,Sep 2006,Dec 2018,"£317,500","£525,000",All,+65%
AL8,Sep 2006,Dec 2018,"£282,250","£432,500",Terraced,+53%
AL8,Sep 2006,Dec 2018,"£385,000","£650,000",Semi,+69%
AL9,Sep 2006,Dec 2018,"£257,500","£372,500",Flat,+45%
AL9,Sep 2006,Dec 2018,"£732,475","£1,150,000",Detached,+57%
AL9,Sep 2006,Dec 2018,"£642,475","£652,500",All,+2%
AL9,Sep 2006,Dec 2018,"£299,995","£405,000",Terraced,+35%
AL9,Sep 2006,Dec 2018,"£279,975","£600,000",Semi,+114%
B1,Sep 2006,Dec 2018,"£169,950","£209,000",Flat,+23%
B1,Sep 2006,Dec 2018,-,-,Detached,-
B1,Sep 2006,Dec 2018,"£169,950","£210,000",All,+24%
B1,Sep 2006,Dec 2018,"£115,000","£487,500",Terraced,+324%
B1,Sep 2006,Dec 2018,-,-,Semi,-
B10,Sep 2006,Dec 2018,"£87,000","£70,000",Flat,-20%
B10,Sep 2006,Dec 2018,-,-,Detached,-
B10,Sep 2006,Dec 2018,"£129,950","£157,500",All,+21%
B10,Sep 2006,Dec 2018,"£134,950","£165,000",Terraced,+22%
B10,Sep 2006,Dec 2018,"£132,475","£349,950",Semi,+164%
B11,Sep 2006,Dec 2018,"£95,000","£70,000",Flat,-26%
B11,Sep 2006,Dec 2018,"£197,475","£289,995",Detached,+47%
B11,Sep 2006,Dec 2018,"£137,950","£170,000",All,+23%
B11,Sep 2006,Dec 2018,"£129,950","£159,475",Terraced,+23%
B11,Sep 2006,Dec 2018,"£159,950","£210,000",Semi,+31%
B12,Sep 2006,Dec 2018,"£149,950","£180,227",Flat,+20%
B12,Sep 2006,Dec 2018,-,"£220,000",Detached,-
B12,Sep 2006,Dec 2018,"£144,975","£183,096",All,+26%
B12,Sep 2006,Dec 2018,"£128,500","£167,500",Terraced,+30%
B12,Sep 2006,Dec 2018,"£155,000","£234,975",Semi,+52%
B13,Sep 2006,Dec 2018,"£127,950","£168,475",Flat,+32%
B13,Sep 2006,Dec 2018,"£349,950","£595,000",Detached,+70%
B13,Sep 2006,Dec 2018,"£185,000","£249,950",All,+35%
B13,Sep 2006,Dec 2018,"£135,000","£225,000",Terraced,+67%
B13,Sep 2006,Dec 2018,"£209,950","£349,999",Semi,+67%
B14,Sep 2006,Dec 2018,"£99,950","£115,000",Flat,+15%
B14,Sep 2006,Dec 2018,"£199,950","£272,500",Detached,+36%
B14,Sep 2006,Dec 2018,"£144,950","£210,000",All,+45%
B14,Sep 2006,Dec 2018,"£135,450","£234,975",Terraced,+73%
B14,Sep 2006,Dec 2018,"£166,250","£225,000",Semi,+35%
B15,Sep 2006,Dec 2018,"£152,950","£249,975",Flat,+63%
B15,Sep 2006,Dec 2018,"£429,000","£925,000",Detached,+116%
B15,Sep 2006,Dec 2018,"£184,000","£265,000",All,+44%
B15,Sep 2006,Dec 2018,"£280,000","£337,500",Terraced,+21%
B15,Sep 2006,Dec 2018,"£280,000","£685,000",Semi,+145%
B16,Sep 2006,Dec 2018,"£143,950","£162,500",Flat,+13%
B16,Sep 2006,Dec 2018,"£374,950","£382,475",Detached,+2%
B16,Sep 2006,Dec 2018,"£155,000","£184,950",All,+19%
B16,Sep 2006,Dec 2018,"£149,950","£254,950",Terraced,+70%
B16,Sep 2006,Dec 2018,"£266,225","£320,000",Semi,+20%
B17,Sep 2006,Dec 2018,"£149,950","£183,000",Flat,+22%
B17,Sep 2006,Dec 2018,"£434,975","£602,500",Detached,+39%
B17,Sep 2006,Dec 2018,"£219,950","£250,000",All,+14%
B17,Sep 2006,Dec 2018,"£215,000","£295,000",Terraced,+37%
B17,Sep 2006,Dec 2018,"£244,950","£325,000",Semi,+33%
B18,Sep 2006,Dec 2018,"£174,950","£210,000",Flat,+20%
B18,Sep 2006,Dec 2018,-,-,Detached,-
B18,Sep 2006,Dec 2018,"£159,950","£181,250",All,+13%
B18,Sep 2006,Dec 2018,"£104,950","£126,500",Terraced,+21%
B18,Sep 2006,Dec 2018,"£154,975","£145,000",Semi,-6%
B19,Sep 2006,Dec 2018,"£74,950","£96,000",Flat,+28%
B19,Sep 2006,Dec 2018,"£200,000","£210,000",Detached,+5%
B19,Sep 2006,Dec 2018,"£122,000","£117,450",All,-4%
B19,Sep 2006,Dec 2018,"£118,475","£132,475",Terraced,+12%
B19,Sep 2006,Dec 2018,"£174,950","£134,975",Semi,-23%
B2,Sep 2006,Dec 2018,"£189,000","£180,000",Flat,-5%
B2,Sep 2006,Dec 2018,-,-,Detached,-
B2,Sep 2006,Dec 2018,"£189,000","£180,000",All,-5%
B2,Sep 2006,Dec 2018,-,-,Terraced,-
B2,Sep 2006,Dec 2018,-,-,Semi,-
B20,Sep 2006,Dec 2018,"£93,450","£84,950",Flat,-9%
B20,Sep 2006,Dec 2018,"£246,250","£280,000",Detached,+14%
B20,Sep 2006,Dec 2018,"£174,975","£229,950",All,+31%
B20,Sep 2006,Dec 2018,"£129,950","£149,950",Terraced,+15%
B20,Sep 2006,Dec 2018,"£194,950","£250,000",Semi,+28%
B21,Sep 2006,Dec 2018,"£98,950","£95,000",Flat,-4%
B21,Sep 2006,Dec 2018,"£475,000","£235,000",Detached,-51%
B21,Sep 2006,Dec 2018,"£124,950","£134,950",All,+8%
B21,Sep 2006,Dec 2018,"£109,950","£129,950",Terraced,+18%
B21,Sep 2006,Dec 2018,"£155,000","£190,000",Semi,+23%
B23,Sep 2006,Dec 2018,"£94,950","£110,000",Flat,+16%
B23,Sep 2006,Dec 2018,"£187,498","£250,000",Detached,+33%
B23,Sep 2006,Dec 2018,"£124,995","£150,000",All,+20%
B23,Sep 2006,Dec 2018,"£119,950","£151,250",Terraced,+26%
B23,Sep 2006,Dec 2018,"£139,950","£174,950",Semi,+25%
B24,Sep 2006,Dec 2018,"£103,950","£107,500",Flat,+3%
B24,Sep 2006,Dec 2018,"£214,950","£270,000",Detached,+26%
B24,Sep 2006,Dec 2018,"£149,998","£205,000",All,+37%
B24,Sep 2006,Dec 2018,"£132,725","£176,000",Terraced,+33%
B24,Sep 2006,Dec 2018,"£154,950","£212,500",Semi,+37%
B25,Sep 2006,Dec 2018,"£92,500","£102,500",Flat,+11%
B25,Sep 2006,Dec 2018,"£219,973","£325,000",Detached,+48%
B25,Sep 2006,Dec 2018,"£124,950","£184,975",All,+48%
B25,Sep 2006,Dec 2018,"£119,950","£155,000",Terraced,+29%
B25,Sep 2006,Dec 2018,"£149,950","£242,500",Semi,+62%
B26,Sep 2006,Dec 2018,"£109,950","£126,000",Flat,+15%
B26,Sep 2006,Dec 2018,"£209,950","£310,000",Detached,+48%
B26,Sep 2006,Dec 2018,"£149,950","£200,000",All,+33%
B26,Sep 2006,Dec 2018,"£119,950","£178,000",Terraced,+48%
B26,Sep 2006,Dec 2018,"£154,950","£200,000",Semi,+29%
B27,Sep 2006,Dec 2018,"£114,975","£120,000",Flat,+4%
B27,Sep 2006,Dec 2018,"£249,950","£385,000",Detached,+54%
B27,Sep 2006,Dec 2018,"£139,950","£222,475",All,+59%
B27,Sep 2006,Dec 2018,"£129,950","£170,000",Terraced,+31%
B27,Sep 2006,Dec 2018,"£166,950","£230,000",Semi,+38%
B28,Sep 2006,Dec 2018,"£119,950","£115,000",Flat,-4%
B28,Sep 2006,Dec 2018,"£245,000","£340,000",Detached,+39%
B28,Sep 2006,Dec 2018,"£199,950","£274,950",All,+38%
B28,Sep 2006,Dec 2018,"£158,950","£198,975",Terraced,+25%
B28,Sep 2006,Dec 2018,"£199,950","£270,000",Semi,+35%
B29,Sep 2006,Dec 2018,"£117,450","£102,500",Flat,-13%
B29,Sep 2006,Dec 2018,"£359,750","£475,000",Detached,+32%
B29,Sep 2006,Dec 2018,"£150,000","£190,000",All,+27%
B29,Sep 2006,Dec 2018,"£147,000","£190,000",Terraced,+29%
B29,Sep 2006,Dec 2018,"£159,950","£229,975",Semi,+44%
B3,Sep 2006,Dec 2018,"£166,250","£250,000",Flat,+50%
B3,Sep 2006,Dec 2018,-,-,Detached,-
B3,Sep 2006,Dec 2018,"£167,500","£260,000",All,+55%
B3,Sep 2006,Dec 2018,-,"£547,500",Terraced,-
B3,Sep 2006,Dec 2018,-,-,Semi,-
B30,Sep 2006,Dec 2018,"£123,950","£110,000",Flat,-11%
B30,Sep 2006,Dec 2018,"£262,500","£399,950",Detached,+52%
B30,Sep 2006,Dec 2018,"£149,950","£249,950",All,+67%
B30,Sep 2006,Dec 2018,"£147,995","£249,950",Terraced,+69%
B30,Sep 2006,Dec 2018,"£182,500","£250,000",Semi,+37%
B31,Sep 2006,Dec 2018,"£104,950","£120,000",Flat,+14%
B31,Sep 2006,Dec 2018,"£249,950","£310,000",Detached,+24%
B31,Sep 2006,Dec 2018,"£145,000","£180,000",All,+24%
B31,Sep 2006,Dec 2018,"£118,725","£160,000",Terraced,+35%
B31,Sep 2006,Dec 2018,"£149,950","£190,000",Semi,+27%
B32,Sep 2006,Dec 2018,"£74,950","£125,000",Flat,+67%
B32,Sep 2006,Dec 2018,"£225,000","£262,500",Detached,+17%
B32,Sep 2006,Dec 2018,"£139,950","£195,000",All,+39%
B32,Sep 2006,Dec 2018,"£123,950","£154,950",Terraced,+25%
B32,Sep 2006,Dec 2018,"£154,950","£209,950",Semi,+35%
B33,Sep 2006,Dec 2018,"£94,950","£100,000",Flat,+5%
B33,Sep 2006,Dec 2018,"£244,950","£262,475",Detached,+7%
B33,Sep 2006,Dec 2018,"£124,950","£149,975",All,+20%
B33,Sep 2006,Dec 2018,"£114,950","£150,000",Terraced,+30%
B33,Sep 2006,Dec 2018,"£144,950","£150,000",Semi,+3%
B34,Sep 2006,Dec 2018,"£81,250","£80,000",Flat,-2%
B34,Sep 2006,Dec 2018,"£164,998","£210,000",Detached,+27%
B34,Sep 2006,Dec 2018,"£139,950","£177,500",All,+27%
B34,Sep 2006,Dec 2018,"£115,000","£159,975",Terraced,+39%
B34,Sep 2006,Dec 2018,"£159,995","£200,000",Semi,+25%
B35,Sep 2006,Dec 2018,"£89,950","£107,500",Flat,+20%
B35,Sep 2006,Dec 2018,"£122,950","£235,000",Detached,+91%
B35,Sep 2006,Dec 2018,"£119,950","£140,000",All,+17%
B35,Sep 2006,Dec 2018,"£115,000","£140,000",Terraced,+22%
B35,Sep 2006,Dec 2018,"£134,950","£180,000",Semi,+33%
B36,Sep 2006,Dec 2018,"£113,500","£100,000",Flat,-12%
B36,Sep 2006,Dec 2018,"£282,475","£339,950",Detached,+20%
B36,Sep 2006,Dec 2018,"£157,950","£217,475",All,+38%
B36,Sep 2006,Dec 2018,"£105,000","£140,000",Terraced,+33%
B36,Sep 2006,Dec 2018,"£177,225","£245,000",Semi,+38%
B37,Sep 2006,Dec 2018,"£75,450","£90,000",Flat,+19%
B37,Sep 2006,Dec 2018,"£242,950","£370,000",Detached,+52%
B37,Sep 2006,Dec 2018,"£124,998","£180,000",All,+44%
B37,Sep 2006,Dec 2018,"£113,500","£140,000",Terraced,+23%
B37,Sep 2006,Dec 2018,"£153,450","£232,500",Semi,+52%
B38,Sep 2006,Dec 2018,"£94,975","£100,000",Flat,+5%
B38,Sep 2006,Dec 2018,"£234,950","£389,950",Detached,+66%
B38,Sep 2006,Dec 2018,"£129,950","£200,000",All,+54%
B38,Sep 2006,Dec 2018,"£118,950","£142,500",Terraced,+20%
B38,Sep 2006,Dec 2018,"£144,950","£177,500",Semi,+22%
B4,Sep 2006,Dec 2018,"£140,000","£189,995",Flat,+36%
B4,Sep 2006,Dec 2018,-,-,Detached,-
B4,Sep 2006,Dec 2018,"£140,000","£189,995",All,+36%
B4,Sep 2006,Dec 2018,-,-,Terraced,-
B4,Sep 2006,Dec 2018,-,-,Semi,-
B42,Sep 2006,Dec 2018,"£95,950","£110,000",Flat,+15%
B42,Sep 2006,Dec 2018,"£179,950","£210,000",Detached,+17%
B42,Sep 2006,Dec 2018,"£136,998","£170,000",All,+24%
B42,Sep 2006,Dec 2018,"£125,450","£150,000",Terraced,+20%
B42,Sep 2006,Dec 2018,"£142,725","£179,950",Semi,+26%
B43,Sep 2006,Dec 2018,"£111,950","£117,450",Flat,+5%
B43,Sep 2006,Dec 2018,"£277,475","£390,000",Detached,+41%
B43,Sep 2006,Dec 2018,"£169,450","£205,000",All,+21%
B43,Sep 2006,Dec 2018,"£139,950","£170,000",Terraced,+21%
B43,Sep 2006,Dec 2018,"£169,450","£215,000",Semi,+27%
B44,Sep 2006,Dec 2018,"£110,950","£100,000",Flat,-10%
B44,Sep 2006,Dec 2018,"£169,950","£155,000",Detached,-9%
B44,Sep 2006,Dec 2018,"£124,950","£150,000",All,+20%
B44,Sep 2006,Dec 2018,"£109,950","£140,000",Terraced,+27%
